municipality,urbanicity_level,inhabitants,largest_party
aa en hunze,5.0,25717,PVV (Partij voor de Vrijheid)
aalsmeer,4.0,33068,PVV (Partij voor de Vrijheid)
aalten,4.0,27249,PVV (Partij voor de Vrijheid)
achtkarspelen,5.0,28143,PVV (Partij voor de Vrijheid)
alblasserdam,2.0,20368,PVV (Partij voor de Vrijheid)
albrandswaard,3.0,26361,PVV (Partij voor de Vrijheid)
alkmaar,2.0,111822,PVV (Partij voor de Vrijheid)
almelo,2.0,73972,PVV (Partij voor de Vrijheid)
almere,2.0,222919,PVV (Partij voor de Vrijheid)
alphen aan den rijn,2.0,114174,PVV (Partij voor de Vrijheid)
alphen-chaam,5.0,10462,PVV (Partij voor de Vrijheid)
altena,4.0,57733,PVV (Partij voor de Vrijheid)
ameland,5.0,3844,PVV (Partij voor de Vrijheid)
amersfoort,2.0,160747,GROENLINKS / Partij van de Arbeid (PvdA)
amstelveen,1.0,94431,VVD
amsterdam,1.0,921468,GROENLINKS / Partij van de Arbeid (PvdA)
apeldoorn,2.0,167225,PVV (Partij voor de Vrijheid)
arnhem,2.0,165712,GROENLINKS / Partij van de Arbeid (PvdA)
assen,2.0,69450,PVV (Partij voor de Vrijheid)
asten,3.0,17253,PVV (Partij voor de Vrijheid)
baarle-nassau,5.0,7075,PVV (Partij voor de Vrijheid)
baarn,2.0,25008,VVD
barendrecht,2.0,48805,PVV (Partij voor de Vrijheid)
barneveld,4.0,61649,Staatkundig Gereformeerde Partij (SGP)
beek,4.0,16133,PVV (Partij voor de Vrijheid)
beekdaelen,4.0,35959,PVV (Partij voor de Vrijheid)
beesel,4.0,13449,PVV (Partij voor de Vrijheid)
berg en dal,4.0,35421,PVV (Partij voor de Vrijheid)
bergeijk,4.0,19088,PVV (Partij voor de Vrijheid)
bergen op zoom,2.0,68872,PVV (Partij voor de Vrijheid)
berkelland,4.0,44037,PVV (Partij voor de Vrijheid)
bernheze,4.0,32262,PVV (Partij voor de Vrijheid)
best,3.0,30893,PVV (Partij voor de Vrijheid)
beuningen,3.0,26576,PVV (Partij voor de Vrijheid)
beverwijk,1.0,42707,PVV (Partij voor de Vrijheid)
bladel,4.0,21010,PVV (Partij voor de Vrijheid)
blaricum,3.0,12491,VVD
bloemendaal,3.0,23934,VVD
bodegraven-reeuwijk,3.0,36329,PVV (Partij voor de Vrijheid)
boekel,4.0,11162,PVV (Partij voor de Vrijheid)
borger-odoorn,5.0,25908,PVV (Partij voor de Vrijheid)
borne,3.0,24526,Nieuw Sociaal Contract
borsele,5.0,23155,PVV (Partij voor de Vrijheid)
boxtel,3.0,33761,PVV (Partij voor de Vrijheid)
breda,2.0,186475,VVD
bronckhorst,5.0,36279,PVV (Partij voor de Vrijheid)
brummen,4.0,21105,PVV (Partij voor de Vrijheid)
